date,max_temp,min_temp,avg_temp
2026-04-07,16.4,11.2,13.799999999999999
2026-04-08,17.1,10.3,13.700000000000001
2026-04-09,20.7,9.4,15.05
2026-04-10,22.7,9.5,16.1
2026-04-11,22.8,10.2,16.5
2026-04-12,24.1,10.5,17.3
2026-04-13,26.0,10.5,18.25
2026-04-14,27.3,10.3,18.8
